,precision,recall,f1-score,support
battery,0.9629629629629629,0.9629629629629629,0.9629629629629629,189.0
biological,0.9556650246305419,0.9847715736040609,0.97,197.0
brown-glass,0.92,0.9504132231404959,0.9349593495934959,121.0
cardboard,0.9281767955801105,0.9438202247191011,0.935933147632312,178.0
clothes,0.9933899905571294,0.9877934272300469,0.9905838041431262,1065.0
green-glass,0.8832116788321168,0.9603174603174603,0.9201520912547528,126.0
metal,0.7540983606557377,0.8961038961038961,0.8189910979228486,154.0
paper,0.9481865284974094,0.8714285714285714,0.9081885856079405,210.0
plastic,0.8980891719745223,0.815028901734104,0.8545454545454545,173.0
shoes,0.9770408163265306,0.9696202531645569,0.9733163913595934,395.0
trash,0.9640287769784173,0.9640287769784173,0.9640287769784173,139.0
white-glass,0.8680555555555556,0.8064516129032258,0.8361204013377926,155.0
accuracy,0.9464861379754996,0.9464861379754996,0.9464861379754996,0.9464861379754996
macro avg,0.9210754718792528,0.9260617403572415,0.922481838611558,3102.0
weighted avg,0.948145057955767,0.9464861379754996,0.9466364696900195,3102.0
