,battery,biological,brown-glass,cardboard,clothes,green-glass,metal,paper,plastic,shoes,trash,white-glass
battery,182,0,1,1,0,1,3,1,0,0,0,0
biological,0,194,0,0,0,1,0,1,1,0,0,0
brown-glass,0,0,115,0,0,1,4,0,0,0,0,1
cardboard,1,0,0,168,0,0,1,6,1,0,1,0
clothes,0,0,0,2,1052,0,3,0,0,8,0,0
green-glass,0,1,1,0,0,121,2,0,0,0,0,1
metal,3,0,0,1,0,2,138,0,1,1,0,8
paper,1,5,1,6,1,0,6,183,3,0,2,2
plastic,2,0,1,2,1,7,10,2,141,0,1,6
shoes,0,2,2,0,4,0,3,0,1,383,0,0
trash,0,1,0,0,1,0,0,0,2,0,134,1
white-glass,0,0,4,1,0,4,13,0,7,0,1,125
